logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Position Index,Position Probablility,Position Age,Position Confidence,Speed,Relative Heading
659,1970-01-02 09:00:00.376378,0.0,8,0.376377,0.0,1,0xcaf0054c,0,0,2,8191,8191,1,0,0,5,1,64,72
5477,1970-01-02 09:00:00.926230,549.852,8,0.926229,549.852,1,0xcaf0054c,0,0,2,8191,8191,2,0,0,16,1,64,72
5478,1970-01-02 09:00:00.926250,0.02,8,0.92625,0.021,7,0xcaf0054c,0,0,2,8191,8191,2,0,0,16,1,64,72
14440,1970-01-02 09:00:01.468241,541.991,8,1.46824,541.99,7,0xcaf0054c,0,0,2,8191,8191,3,0,0,5,1,64,72
14516,1970-01-02 09:00:01.472093,3.852,8,1.472092,3.852,1,0xcaf0054c,0,0,2,8191,8191,3,0,0,5,1,64,72
23577,1970-01-02 09:00:02.016249,544.156,8,2.016249,544.157,7,0xcaf0054c,0,0,2,8191,8191,0,0,0,14,1,64,72
23717,1970-01-02 09:00:02.025967,9.718,8,2.025966,9.717,1,0xcaf0054c,0,0,2,8191,8191,0,0,0,14,1,64,72
32717,1970-01-02 09:00:02.568205,542.2379999999999,8,2.568204,542.238,7,0xcaf0054c,0,0,2,8191,8191,1,0,0,4,1,64,72
32863,1970-01-02 09:00:02.574867,6.662000000000001,8,2.574867,6.663,1,0xcaf0054c,0,0,2,8191,8191,1,0,0,4,1,64,72
41865,1970-01-02 09:00:03.116633,541.766,8,3.116633,541.766,7,0xcaf0054c,0,0,2,8191,8191,2,0,0,14,1,64,72
41893,1970-01-02 09:00:03.118418,1.785,8,3.118417,1.784,1,0xcaf0054c,0,0,2,8191,8191,2,0,0,14,1,64,72
51217,1970-01-02 09:00:03.677373,558.9549999999999,8,3.677372,558.955,7,0xcaf0054c,0,0,2,8191,8191,3,0,0,6,1,64,72
51224,1970-01-02 09:00:03.677826,0.453,8,3.677826,0.454,1,0xcaf0054c,0,0,2,8191,8191,3,0,0,6,1,64,72
60271,1970-01-02 09:00:04.226515,548.689,8,4.226514,548.688,1,0xcaf0054c,0,0,2,8191,8191,0,0,0,15,1,64,72
60273,1970-01-02 09:00:04.226918,0.40299999999999997,8,4.226918,0.404,7,0xcaf0054c,0,0,2,8191,8191,0,0,0,15,1,64,72
69470,1970-01-02 09:00:04.777842,550.924,8,4.777842,550.924,1,0xcaf0054c,0,0,2,8191,8191,1,0,0,6,1,64,72
69477,1970-01-02 09:00:04.778347,0.505,8,4.778347,0.505,7,0xcaf0054c,0,0,2,8191,8191,1,0,0,6,1,64,72
78492,1970-01-02 09:00:05.326197,547.8499999999999,8,5.326197,547.85,1,0xcaf0054c,0,0,2,8191,8191,2,0,0,16,1,64,72
78495,1970-01-02 09:00:05.326788,0.5910000000000001,8,5.326788,0.591,7,0xcaf0054c,0,0,2,8191,8191,2,0,0,16,1,64,72
87781,1970-01-02 09:00:05.876672,549.884,8,5.876671,549.883,1,0xcaf0054c,0,0,2,8191,8191,3,0,0,6,1,64,72
87786,1970-01-02 09:00:05.877301,0.629,8,5.8773,0.629,7,0xcaf0054c,0,0,2,8191,8191,3,0,0,6,1,64,72
