logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Profile type,Retransmission,Update,Value,Analyze
80,1970-01-02 09:00:00.154760,0.0,8,0.154759,0.0,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
192,1970-01-02 09:00:00.204660,49.9,8,0.20466,49.901,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
279,1970-01-02 09:00:00.255657,50.997,8,0.255657,50.997,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
428,1970-01-02 09:00:00.304651,48.994,8,0.304651,48.994,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
2861,1970-01-02 09:00:00.415667,111.016,8,0.415667,111.016,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
2951,1970-01-02 09:00:00.464705,49.038,8,0.464704,49.037,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
3048,1970-01-02 09:00:00.515662,50.957,8,0.515662,50.958,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
3138,1970-01-02 09:00:00.564699,49.037,8,0.564698,49.036,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
3228,1970-01-02 09:00:00.614638,49.939,8,0.614638,49.94,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
3329,1970-01-02 09:00:00.665983,51.345,8,0.665983,51.345,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
3543,1970-01-02 09:00:00.714635,48.652,8,0.714634,48.651,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
3650,1970-01-02 09:00:00.773389,58.754,8,0.773388,58.754,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
3990,1970-01-02 09:00:00.814654,41.265,8,0.814654,41.266,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
4613,1970-01-02 09:00:00.865976,51.322,8,0.865975,51.321,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
5472,1970-01-02 09:00:00.925443,59.467,8,0.925442,59.467,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
6275,1970-01-02 09:00:00.974700,49.257000000000005,8,0.9747,49.258,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
7370,1970-01-02 09:00:01.044691,69.991,8,1.04469,69.99,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
8289,1970-01-02 09:00:01.095603,50.912,8,1.095602,50.912,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
9045,1970-01-02 09:00:01.145061,49.458,8,1.14506,49.458,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
9953,1970-01-02 09:00:01.195557,50.496,8,1.195556,50.496,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
10879,1970-01-02 09:00:01.256267,60.71,8,1.256266,60.71,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
11792,1970-01-02 09:00:01.307743,51.476,8,1.307743,51.477,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
12759,1970-01-02 09:00:01.368736,60.993,8,1.368736,60.993,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
13649,1970-01-02 09:00:01.417956,49.22,8,1.417955,49.219,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
14460,1970-01-02 09:00:01.469819,51.863,8,1.469818,51.863,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
15345,1970-01-02 09:00:01.520052,50.233,8,1.520052,50.234,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
16334,1970-01-02 09:00:01.581139,61.087,8,1.581139,61.087,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
17152,1970-01-02 09:00:01.631224,50.085,8,1.631223,50.084,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
18343,1970-01-02 09:00:01.701004,69.78,8,1.701004,69.781,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
19103,1970-01-02 09:00:01.751536,50.532000000000004,8,1.751536,50.532,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
20214,1970-01-02 09:00:01.812905,61.369,8,1.812905,61.369,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
20944,1970-01-02 09:00:01.862716,49.811,8,1.862716,49.811,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
21893,1970-01-02 09:00:01.914277,51.561,8,1.914276,51.56,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
22625,1970-01-02 09:00:01.963794,49.516999999999996,8,1.963794,49.518,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
23697,1970-01-02 09:00:02.024472,60.678000000000004,8,2.024472,60.678,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
24510,1970-01-02 09:00:02.075873,51.401,8,2.075872,51.4,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
25481,1970-01-02 09:00:02.136057,60.184000000000005,8,2.136056,60.184,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
26307,1970-01-02 09:00:02.184951,48.894,8,2.184951,48.895,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
27242,1970-01-02 09:00:02.244462,59.511,8,2.244462,59.511,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
28152,1970-01-02 09:00:02.294148,49.686,8,2.294147,49.685,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
29069,1970-01-02 09:00:02.354171,60.023,8,2.35417,60.023,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
29963,1970-01-02 09:00:02.403997,49.826,8,2.403997,49.827,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
31173,1970-01-02 09:00:02.473391,69.39399999999999,8,2.473391,69.394,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
32019,1970-01-02 09:00:02.522076,48.685,8,2.522075,48.684,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
32811,1970-01-02 09:00:02.572871,50.795,8,2.572871,50.796,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
33650,1970-01-02 09:00:02.622395,49.524,8,2.622394,49.523,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
34588,1970-01-02 09:00:02.680698,58.303,8,2.680697,58.303,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
35385,1970-01-02 09:00:02.730208,49.51,8,2.730207,49.51,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
36426,1970-01-02 09:00:02.789847,59.638999999999996,8,2.789846,59.639,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
