logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Profile type,Retransmission,Update,Accuracy,Distance,Value 0,Value 1
28,1970-01-02 09:00:00.124677,0.0,8,0.124676,0.0,1,0xcaf0025e,0,0,2,8191,8191,2,0,1,0,3,0,1023,1023
66,1970-01-02 09:00:00.144667,19.990000000000002,8,0.144666,19.99,1,0xcaf0025e,0,0,2,8191,8191,3,0,1,0,3,0,1023,1023
171,1970-01-02 09:00:00.194669,50.001999999999995,8,0.194669,50.003,1,0xcaf0025e,0,0,2,8191,8191,0,0,1,0,3,0,1023,1023
207,1970-01-02 09:00:00.214627,19.958,8,0.214627,19.958,1,0xcaf0025e,0,0,2,8191,8191,1,0,1,0,3,0,1023,1023
239,1970-01-02 09:00:00.234633,20.006,8,0.234632,20.005,1,0xcaf0025e,0,0,2,8191,8191,2,0,1,0,3,0,1023,1023
276,1970-01-02 09:00:00.254730,20.097,8,0.25473,20.098,1,0xcaf0025e,0,0,2,8191,8191,3,0,1,0,3,0,1023,1023
401,1970-01-02 09:00:00.294653,39.923,8,0.294653,39.923,1,0xcaf0025e,0,0,2,8191,8191,0,0,1,0,3,0,1023,1023
457,1970-01-02 09:00:00.314627,19.974,8,0.314626,19.973,1,0xcaf0025e,0,0,2,8191,8191,1,0,1,0,3,0,1023,1023
516,1970-01-02 09:00:00.334632,20.005,8,0.334632,20.006,1,0xcaf0025e,0,0,2,8191,8191,2,0,1,0,3,0,1023,1023
577,1970-01-02 09:00:00.354640,20.008000000000003,8,0.354639,20.007,1,0xcaf0025e,0,0,2,8191,8191,3,0,1,0,3,0,1023,1023
2858,1970-01-02 09:00:00.414675,60.035,8,0.414674,60.035,1,0xcaf0025e,0,0,2,8191,8191,0,0,1,0,3,0,1023,1023
2894,1970-01-02 09:00:00.434623,19.948,8,0.434623,19.949,1,0xcaf0025e,0,0,2,8191,8191,1,0,1,0,3,0,1023,1023
2934,1970-01-02 09:00:00.454650,20.027,8,0.454649,20.026,1,0xcaf0025e,0,0,2,8191,8191,2,0,1,0,3,0,1023,1023
2974,1970-01-02 09:00:00.474727,20.077,8,0.474727,20.078,1,0xcaf0025e,0,0,2,8191,8191,3,0,1,0,3,0,1023,1023
3045,1970-01-02 09:00:00.514663,39.936,8,0.514663,39.936,1,0xcaf0025e,0,0,2,8191,8191,0,0,1,0,3,0,1023,1023
3083,1970-01-02 09:00:00.534621,19.958,8,0.534621,19.958,1,0xcaf0025e,0,0,2,8191,8191,1,0,1,0,3,0,1023,1023
3117,1970-01-02 09:00:00.554638,20.017,8,0.554638,20.017,1,0xcaf0025e,0,0,2,8191,8191,2,0,1,0,3,0,1023,1023
3155,1970-01-02 09:00:00.574650,20.011999999999997,8,0.574649,20.011,1,0xcaf0025e,0,0,2,8191,8191,3,0,1,0,3,0,1023,1023
3243,1970-01-02 09:00:00.624663,50.013000000000005,8,0.624663,50.014,1,0xcaf0025e,0,0,2,8191,8191,0,0,1,0,3,0,1023,1023
3284,1970-01-02 09:00:00.644624,19.961,8,0.644623,19.96,1,0xcaf0025e,0,0,2,8191,8191,1,0,1,0,3,0,1023,1023
3327,1970-01-02 09:00:00.665568,20.944,8,0.665567,20.944,1,0xcaf0025e,0,0,2,8191,8191,2,0,1,0,3,0,1023,1023
3487,1970-01-02 09:00:00.684644,19.076,8,0.684644,19.077,1,0xcaf0025e,0,0,2,8191,8191,3,0,1,0,3,0,1023,1023
3575,1970-01-02 09:00:00.734647,50.003,8,0.734646,50.002,1,0xcaf0025e,0,0,2,8191,8191,0,0,1,0,3,0,1023,1023
