logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,AD2 flag,Speed Units,Tunnel,Bridge,Build-up Area,Retransmission,Update,Relative Probability,Functional Road Class,Part of Calculated route,Expressway Flag,Form of Way,Effective Speed Limit,Effective Speed Limit Type,Number of Lanes in driving direction
83,1970-01-02 09:00:00.155700,0.0,8,0.155699,0.0,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
194,1970-01-02 09:00:00.205595,49.895,8,0.205594,49.895,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
280,1970-01-02 09:00:00.256128,50.533,8,0.256128,50.534,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
432,1970-01-02 09:00:00.305589,49.461,8,0.305589,49.461,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
650,1970-01-02 09:00:00.374732,69.143,8,0.374732,69.143,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
2873,1970-01-02 09:00:00.424757,50.025,8,0.424756,50.024,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
2976,1970-01-02 09:00:00.475445,50.687999999999995,8,0.475444,50.688,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
3063,1970-01-02 09:00:00.524630,49.185,8,0.52463,49.186,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
3172,1970-01-02 09:00:00.584836,60.206,8,0.584836,60.206,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
3259,1970-01-02 09:00:00.634636,49.8,8,0.634635,49.799,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
3515,1970-01-02 09:00:00.697357,62.721,8,0.697356,62.721,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
3596,1970-01-02 09:00:00.744629,47.272,8,0.744629,47.273,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
3882,1970-01-02 09:00:00.804676,60.047000000000004,8,0.804676,60.047,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
4450,1970-01-02 09:00:00.854650,49.974,8,0.854649,49.973,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
4456,1970-01-02 09:00:00.854905,0.255,8,0.854905,0.256,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
5473,1970-01-02 09:00:00.925702,70.797,8,0.925701,70.796,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
5474,1970-01-02 09:00:00.925722,0.02,8,0.925722,0.021,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
6309,1970-01-02 09:00:00.975695,49.973,8,0.975695,49.973,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
6312,1970-01-02 09:00:00.975764,0.06899999999999999,8,0.975764,0.069,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
7389,1970-01-02 09:00:01.045627,69.863,8,1.045627,69.863,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
7390,1970-01-02 09:00:01.045649,0.022,8,1.045648,0.021,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
8293,1970-01-02 09:00:01.095866,50.217,8,1.095866,50.218,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
8294,1970-01-02 09:00:01.095888,0.022,8,1.095888,0.022,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
9052,1970-01-02 09:00:01.145637,49.749,8,1.145637,49.749,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
9056,1970-01-02 09:00:01.146000,0.363,8,1.146,0.363,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
9954,1970-01-02 09:00:01.195598,49.598000000000006,8,1.195597,49.597,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
9963,1970-01-02 09:00:01.196500,0.902,8,1.1965,0.903,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
10874,1970-01-02 09:00:01.255651,59.151,8,1.255651,59.151,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
10883,1970-01-02 09:00:01.257204,1.553,8,1.257204,1.553,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
11784,1970-01-02 09:00:01.305910,48.705999999999996,8,1.30591,48.706,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
11796,1970-01-02 09:00:01.308006,2.096,8,1.308005,2.095,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
12710,1970-01-02 09:00:01.366505,58.499,8,1.366505,58.5,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
12761,1970-01-02 09:00:01.369160,2.655,8,1.36916,2.655,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
13620,1970-01-02 09:00:01.415622,46.462,8,1.415621,46.461,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
13652,1970-01-02 09:00:01.418905,3.283,8,1.418904,3.283,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
14399,1970-01-02 09:00:01.466421,47.516000000000005,8,1.46642,47.516,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
14466,1970-01-02 09:00:01.470247,3.826,8,1.470246,3.826,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
15307,1970-01-02 09:00:01.515909,45.662,8,1.515909,45.663,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
15350,1970-01-02 09:00:01.520349,4.44,8,1.520348,4.439,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
16272,1970-01-02 09:00:01.576378,56.029,8,1.576377,56.029,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
16340,1970-01-02 09:00:01.581399,5.021,8,1.581398,5.021,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
17089,1970-01-02 09:00:01.625924,44.525,8,1.625923,44.525,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
17155,1970-01-02 09:00:01.631482,5.558,8,1.631481,5.558,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
18279,1970-01-02 09:00:01.695640,64.158,8,1.695639,64.158,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
18364,1970-01-02 09:00:01.701952,6.312,8,1.701952,6.313,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
19030,1970-01-02 09:00:01.745631,43.679,8,1.745631,43.679,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
19125,1970-01-02 09:00:01.752482,6.851,8,1.752482,6.851,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
20102,1970-01-02 09:00:01.805666,53.184000000000005,8,1.805666,53.184,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
20219,1970-01-02 09:00:01.813167,7.5009999999999994,8,1.813166,7.5,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
20861,1970-01-02 09:00:01.855616,42.449,8,1.855616,42.45,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
20960,1970-01-02 09:00:01.863645,8.029,8,1.863644,8.028,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
21745,1970-01-02 09:00:01.905961,42.316,8,1.90596,42.316,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
