logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Last Stub at Offset,Rerouting Flag,Sub-path Index,Retransmission,Update,Relative Probability,Functional Road Class,Part of Calculated route,Expressway Flag,Form of Way,Turn angle,Number of Lanes in driving direction
86,1970-01-02 09:00:00.156093,0.0,8,0.156093,0.0,1,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
195,1970-01-02 09:00:00.205863,49.77,8,0.205862,49.769,1,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
281,1970-01-02 09:00:00.256396,50.533,8,0.256395,50.533,1,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
434,1970-01-02 09:00:00.305860,49.464,8,0.305859,49.464,1,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
657,1970-01-02 09:00:00.375674,69.81400000000001,8,0.375673,69.814,1,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
2875,1970-01-02 09:00:00.425702,50.028000000000006,8,0.425701,50.028,1,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
2979,1970-01-02 09:00:00.476153,50.451,8,0.476153,50.452,1,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
3065,1970-01-02 09:00:00.525572,49.419,8,0.525572,49.419,1,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
3174,1970-01-02 09:00:00.585797,60.225,8,0.585797,60.225,1,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
3262,1970-01-02 09:00:00.635606,49.809,8,0.635605,49.808,1,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
3516,1970-01-02 09:00:00.697623,62.017,8,0.697622,62.017,1,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
3598,1970-01-02 09:00:00.745572,47.949,8,0.745572,47.95,1,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
3892,1970-01-02 09:00:00.805617,60.045,8,0.805616,60.044,1,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
4474,1970-01-02 09:00:00.855615,49.998,8,0.855614,49.998,1,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
4476,1970-01-02 09:00:00.855635,0.02,8,0.855635,0.021,7,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
5475,1970-01-02 09:00:00.925967,70.33200000000001,8,0.925967,70.332,1,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
5476,1970-01-02 09:00:00.925990,0.023,8,0.92599,0.023,7,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
6316,1970-01-02 09:00:00.976123,50.132999999999996,8,0.976122,50.132,1,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
6317,1970-01-02 09:00:00.976144,0.020999999999999998,8,0.976143,0.021,7,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
7393,1970-01-02 09:00:01.045895,69.75099999999999,8,1.045895,69.752,1,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
7394,1970-01-02 09:00:01.045915,0.02,8,1.045914,0.019,7,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
8298,1970-01-02 09:00:01.096281,50.366,8,1.09628,50.366,1,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
8299,1970-01-02 09:00:01.096300,0.019,8,1.0963,0.02,7,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
9055,1970-01-02 09:00:01.145905,49.605000000000004,8,1.145905,49.605,7,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
9060,1970-01-02 09:00:01.146270,0.365,8,1.14627,0.365,1,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
9958,1970-01-02 09:00:01.196013,49.743,8,1.196013,49.743,7,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
9967,1970-01-02 09:00:01.196920,0.907,8,1.196919,0.906,1,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
10878,1970-01-02 09:00:01.256127,59.207,8,1.256126,59.207,7,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
10884,1970-01-02 09:00:01.257683,1.556,8,1.257683,1.557,1,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
11785,1970-01-02 09:00:01.306179,48.495999999999995,8,1.306178,48.495,7,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
11799,1970-01-02 09:00:01.308277,2.098,8,1.308277,2.099,1,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
12721,1970-01-02 09:00:01.366830,58.553000000000004,8,1.366829,58.552,7,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
12722,1970-01-02 09:00:01.366830,0.0,8,1.366829,0.0,7,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
12765,1970-01-02 09:00:01.369585,2.755,8,1.369584,2.755,1,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
13621,1970-01-02 09:00:01.415879,46.294000000000004,8,1.415879,46.295,7,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
13654,1970-01-02 09:00:01.419198,3.319,8,1.419198,3.319,1,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
14408,1970-01-02 09:00:01.466842,47.644,8,1.466842,47.644,7,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
14482,1970-01-02 09:00:01.470679,3.837,8,1.470679,3.837,1,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
15311,1970-01-02 09:00:01.516177,45.498,8,1.516177,45.498,7,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
15355,1970-01-02 09:00:01.520549,4.372,8,1.520549,4.372,1,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
16275,1970-01-02 09:00:01.576644,56.095,8,1.576643,56.094,7,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
16345,1970-01-02 09:00:01.581670,5.026,8,1.581669,5.026,1,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
17090,1970-01-02 09:00:01.626209,44.539,8,1.626208,44.539,7,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
17164,1970-01-02 09:00:01.631768,5.558999999999999,8,1.631768,5.56,1,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
18284,1970-01-02 09:00:01.695906,64.138,8,1.695905,64.137,7,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
18371,1970-01-02 09:00:01.702221,6.315,8,1.70222,6.315,1,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
19033,1970-01-02 09:00:01.745899,43.678000000000004,8,1.745899,43.679,7,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
19134,1970-01-02 09:00:01.752813,6.914,8,1.752813,6.914,1,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
20103,1970-01-02 09:00:01.805932,53.119,8,1.805931,53.118,7,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
20223,1970-01-02 09:00:01.813436,7.5040000000000004,8,1.813436,7.505,1,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
20863,1970-01-02 09:00:01.855882,42.446,8,1.855881,42.445,7,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
20963,1970-01-02 09:00:01.863913,8.031,8,1.863913,8.032,1,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
21750,1970-01-02 09:00:01.906445,42.532000000000004,8,1.906444,42.531,7,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
21913,1970-01-02 09:00:01.915008,8.562999999999999,8,1.915007,8.563,1,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
22534,1970-01-02 09:00:01.956139,41.131,8,1.956139,41.132,7,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
22667,1970-01-02 09:00:01.965224,9.084999999999999,8,1.965224,9.085,1,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
23575,1970-01-02 09:00:02.015974,50.75,8,2.015974,50.75,7,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
23716,1970-01-02 09:00:02.025689,9.715,8,2.025688,9.714,1,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
24309,1970-01-02 09:00:02.066469,40.779999999999994,8,2.066468,40.78,7,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
24513,1970-01-02 09:00:02.076713,10.244,8,2.076713,10.245,1,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
25338,1970-01-02 09:00:02.126012,49.299,8,2.126011,49.298,7,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
25483,1970-01-02 09:00:02.136581,10.569,8,2.136581,10.57,1,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
26189,1970-01-02 09:00:02.176468,39.887,8,2.176467,39.886,7,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
26351,1970-01-02 09:00:02.186592,10.123999999999999,8,2.186591,10.124,1,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
