logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Profile type,Retransmission,Update,Value,Analyze
97,2025-01-31 01:51:06.692790,0.0,8,0.176944,0.0,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
239,2025-01-31 01:51:06.742798,50.007999999999996,8,0.226951,50.007,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
525,2025-01-31 01:51:06.802792,59.994,8,0.286945,59.994,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
766,2025-01-31 01:51:06.852785,49.993,8,0.336939,49.994,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
8217,2025-01-31 01:51:06.912803,60.018,8,0.396956,60.017,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
8376,2025-01-31 01:51:06.963189,50.386,8,0.447343,50.387,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
8660,2025-01-31 01:51:07.022798,59.609,8,0.506951,59.608,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
8883,2025-01-31 01:51:07.072750,49.952000000000005,8,0.556904,49.953,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
9125,2025-01-31 01:51:07.123268,50.518,8,0.607422,50.518,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
13002,2025-01-31 01:51:07.172757,49.489,8,0.656911,49.489,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
13290,2025-01-31 01:51:07.232790,60.033,8,0.716944,60.033,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
13523,2025-01-31 01:51:07.282916,50.126,8,0.76707,50.126,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
13813,2025-01-31 01:51:07.343039,60.123000000000005,8,0.827193,60.123,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
13956,2025-01-31 01:51:07.392753,49.714,8,0.876907,49.714,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
14786,2025-01-31 01:51:07.452808,60.055,8,0.936961,60.054,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
15020,2025-01-31 01:51:07.502749,49.941,8,0.986903,49.942,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
15247,2025-01-31 01:51:07.553336,50.587,8,1.03749,50.587,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
15396,2025-01-31 01:51:07.603267,49.931000000000004,8,1.087421,49.931,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
15528,2025-01-31 01:51:07.699909,96.64200000000001,8,1.184062,96.641,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
16262,2025-01-31 01:51:07.794414,94.50500000000001,8,1.278567,94.505,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
17030,2025-01-31 01:51:07.889961,95.54700000000001,8,1.374114,95.547,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
19617,2025-01-31 01:51:07.983412,93.45100000000001,8,1.467565,93.451,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
23112,2025-01-31 01:51:08.097804,114.392,8,1.581957,114.392,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
25910,2025-01-31 01:51:08.191417,93.613,8,1.675571,93.614,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
29894,2025-01-31 01:51:08.323807,132.39000000000001,8,1.807961,132.39,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
32742,2025-01-31 01:51:08.418263,94.456,8,1.902417,94.456,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
35558,2025-01-31 01:51:08.513739,95.476,8,1.997893,95.476,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
38400,2025-01-31 01:51:08.607329,93.59,8,2.091483,93.59,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
41828,2025-01-31 01:51:08.720883,113.554,8,2.205037,113.554,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
44611,2025-01-31 01:51:08.815246,94.363,8,2.2994,94.363,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
48059,2025-01-31 01:51:08.928774,113.528,8,2.412928,113.528,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
51040,2025-01-31 01:51:09.026307,97.533,8,2.510461,97.533,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
54955,2025-01-31 01:51:09.156054,129.747,8,2.640208,129.747,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
57841,2025-01-31 01:51:09.250300,94.246,8,2.734454,94.246,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
61372,2025-01-31 01:51:09.363656,113.356,8,2.84781,113.356,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
64586,2025-01-31 01:51:09.458057,94.401,8,2.942211,94.401,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
67466,2025-01-31 01:51:09.536715,78.658,8,3.020868,78.657,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
67780,2025-01-31 01:51:09.543620,6.904999999999999,8,3.027773,6.905,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
68264,2025-01-31 01:51:09.553320,9.700000000000001,8,3.037474,9.701,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
68638,2025-01-31 01:51:09.560219,6.899,8,3.044372,6.898,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
68990,2025-01-31 01:51:09.567388,7.169,8,3.051541,7.169,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
69313,2025-01-31 01:51:09.574049,6.6610000000000005,8,3.058203,6.662,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
69721,2025-01-31 01:51:09.582367,8.318000000000001,8,3.066521,8.318,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
70104,2025-01-31 01:51:09.589299,6.9319999999999995,8,3.073452,6.931,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
70489,2025-01-31 01:51:09.597570,8.271,8,3.081724,8.272,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
70842,2025-01-31 01:51:09.604480,6.91,8,3.088633,6.909,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
71220,2025-01-31 01:51:09.612783,8.302999999999999,8,3.096937,8.304,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
71622,2025-01-31 01:51:09.619709,6.926,8,3.103862,6.925,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
72019,2025-01-31 01:51:09.627998,8.289,8,3.112151,8.289,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
72379,2025-01-31 01:51:09.634908,6.91,8,3.119061,6.91,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
72824,2025-01-31 01:51:09.644622,9.714,8,3.128776,9.715,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
73148,2025-01-31 01:51:09.651508,6.886,8,3.135662,6.886,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
73550,2025-01-31 01:51:09.658499,6.991,8,3.142652,6.99,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
73888,2025-01-31 01:51:09.665409,6.91,8,3.149563,6.911,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
74938,2025-01-31 01:51:09.692492,27.083,8,3.176646,27.083,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
76836,2025-01-31 01:51:09.743682,51.19,8,3.227836,51.19,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
79110,2025-01-31 01:51:09.805177,61.495000000000005,8,3.28933,61.494,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
80849,2025-01-31 01:51:09.856396,51.219,8,3.340549,51.219,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
82896,2025-01-31 01:51:09.918328,61.932,8,3.402481,61.932,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
84616,2025-01-31 01:51:09.969087,50.759,8,3.453241,50.76,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
86704,2025-01-31 01:51:10.030761,61.674,8,3.514915,61.674,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
88356,2025-01-31 01:51:10.082011,51.25,8,3.566165,51.25,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
90058,2025-01-31 01:51:10.133491,51.48,8,3.617645,51.48,1,0xcaf0036a,0,0,2,8191,8191,2,0,1,0,0xffffffff,4294967295
91785,2025-01-31 01:51:10.184454,50.963,8,3.668607,50.962,1,0xcaf0036a,0,0,2,8191,8191,3,0,1,0,0xffffffff,4294967295
93780,2025-01-31 01:51:10.245756,61.302,8,3.729909,61.302,1,0xcaf0036a,0,0,2,8191,8191,0,0,1,0,0xffffffff,4294967295
95482,2025-01-31 01:51:10.297104,51.348,8,3.781258,51.349,1,0xcaf0036a,0,0,2,8191,8191,1,0,1,0,0xffffffff,4294967295
