logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Last Stub at Offset,Rerouting Flag,Sub-path Index,Retransmission,Update,Relative Probability,Functional Road Class,Part of Calculated route,Expressway Flag,Form of Way,Turn angle,Number of Lanes in driving direction
101,2025-01-31 01:51:06.693518,0.0,8,0.177672,0.0,1,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
257,2025-01-31 01:51:06.744963,51.445,8,0.229116,51.444,1,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
540,2025-01-31 01:51:06.804548,59.585,8,0.288702,59.586,1,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
786,2025-01-31 01:51:06.854399,49.851,8,0.338553,49.851,1,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
8232,2025-01-31 01:51:06.916135,61.736,8,0.400288,61.735,1,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
8391,2025-01-31 01:51:06.965008,48.873,8,0.449162,48.874,1,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
8676,2025-01-31 01:51:07.024728,59.72,8,0.508882,59.72,1,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
8909,2025-01-31 01:51:07.075270,50.541999999999994,8,0.559423,50.541,1,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
9137,2025-01-31 01:51:07.124707,49.437000000000005,8,0.60886,49.437,1,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
13023,2025-01-31 01:51:07.174906,50.199,8,0.65906,50.2,1,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
13314,2025-01-31 01:51:07.235133,60.227000000000004,8,0.719286,60.226,1,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
13536,2025-01-31 01:51:07.284952,49.819,8,0.769106,49.82,1,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
13825,2025-01-31 01:51:07.344739,59.787,8,0.828892,59.786,1,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
13964,2025-01-31 01:51:07.394927,50.188,8,0.87908,50.188,1,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
14811,2025-01-31 01:51:07.455194,60.267,8,0.939347,60.267,1,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
15033,2025-01-31 01:51:07.504409,49.215,8,0.988562,49.215,1,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
15280,2025-01-31 01:51:07.556674,52.265,8,1.040828,52.266,1,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
15400,2025-01-31 01:51:07.604691,48.016999999999996,8,1.088844,48.016,1,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
15537,2025-01-31 01:51:07.703803,99.11200000000001,8,1.187956,99.112,1,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
7715,2025-01-31 01:51:07.775803,72.0,8,1.259957,72.001,7,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
16270,2025-01-31 01:51:07.797566,21.763,8,1.28172,21.763,1,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
8086,2025-01-31 01:51:07.824404,26.838,8,1.308557,26.837,7,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
16901,2025-01-31 01:51:07.884976,60.572,8,1.36913,60.573,7,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
17157,2025-01-31 01:51:07.894464,9.488,8,1.378618,9.488,1,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
18192,2025-01-31 01:51:07.935190,40.726,8,1.419344,40.726,7,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
19798,2025-01-31 01:51:07.986557,51.367000000000004,8,1.47071,51.366,1,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
20309,2025-01-31 01:51:08.004466,17.909000000000002,8,1.48862,17.91,7,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
21773,2025-01-31 01:51:08.054410,49.944,8,1.538563,49.943,7,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
23193,2025-01-31 01:51:08.101222,46.812,8,1.585375,46.812,1,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
23329,2025-01-31 01:51:08.104887,3.665,8,1.58904,3.665,7,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
24813,2025-01-31 01:51:08.154514,49.626999999999995,8,1.638667,49.627,7,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
26097,2025-01-31 01:51:08.195977,41.463,8,1.68013,41.463,1,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
26643,2025-01-31 01:51:08.215212,19.235,8,1.699366,19.236,7,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
28115,2025-01-31 01:51:08.264510,49.298,8,1.748664,49.298,7,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
29917,2025-01-31 01:51:08.324468,59.958,8,1.808621,59.957,7,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
30005,2025-01-31 01:51:08.326946,2.478,8,1.811099,2.478,1,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
31463,2025-01-31 01:51:08.375825,48.879,8,1.859979,48.88,7,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
32818,2025-01-31 01:51:08.421978,46.153,8,1.906132,46.153,1,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
33520,2025-01-31 01:51:08.445023,23.044999999999998,8,1.929177,23.045,7,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
35009,2025-01-31 01:51:08.494504,49.480999999999995,8,1.978657,49.48,7,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
35686,2025-01-31 01:51:08.516523,22.019000000000002,8,2.000676,22.019,1,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
36804,2025-01-31 01:51:08.554509,37.986,8,2.038663,37.987,7,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
38289,2025-01-31 01:51:08.604409,49.9,8,2.088562,49.899,7,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
38475,2025-01-31 01:51:08.610868,6.4590000000000005,8,2.095021,6.459,1,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
40122,2025-01-31 01:51:08.664490,53.622,8,2.148644,53.623,7,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
41648,2025-01-31 01:51:08.715131,50.641,8,2.199284,50.64,7,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
41976,2025-01-31 01:51:08.725384,10.253,8,2.209537,10.253,1,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
43752,2025-01-31 01:51:08.784943,59.559,8,2.269097,59.56,7,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
44766,2025-01-31 01:51:08.818541,33.598000000000006,8,2.302694,33.597,1,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
45211,2025-01-31 01:51:08.834432,15.890999999999998,8,2.318585,15.891,7,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
46798,2025-01-31 01:51:08.885767,51.335,8,2.36992,51.335,7,0xcaf00370,0,0,2,8191,8191,0,0,0,0,1,0,31,7,3,0,15,254,15
48114,2025-01-31 01:51:08.931936,46.169000000000004,8,2.416089,46.169,1,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
48207,2025-01-31 01:51:08.934456,2.52,8,2.418609,2.52,7,0xcaf00370,0,0,2,8191,8191,1,0,0,0,1,0,31,7,3,0,15,254,15
50084,2025-01-31 01:51:08.994772,60.316,8,2.478925,60.316,7,0xcaf00370,0,0,2,8191,8191,2,0,0,0,1,0,31,7,3,0,15,254,15
51109,2025-01-31 01:51:09.029003,34.230999999999995,8,2.513156,34.231,1,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
51567,2025-01-31 01:51:09.044817,15.814000000000002,8,2.528971,15.815,7,0xcaf00370,0,0,2,8191,8191,3,0,0,0,1,0,31,7,3,0,15,254,15
