logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Profile type,Retransmission,Update,Accuracy,Distance,Value 0,Value 1
97,2025-01-31 03:55:41.969891,0.0,8,3119.950001,0.0,1,0xcaf0025e,0,0,31,4296,4296,2,4,1,0,0,15,511,513
965,2025-01-31 03:55:41.994041,24.150000000000002,8,3119.974152,24.151,7,0xcaf0025e,0,0,31,6999,6999,3,1,1,0,0,16,491,471
1133,2025-01-31 03:55:41.999912,5.871,8,3119.980023,5.871,1,0xcaf0025e,0,0,31,6999,6999,3,1,1,0,0,16,491,471
1605,2025-01-31 03:55:42.014054,14.142,8,3119.994164,14.141,7,0xcaf0025e,0,0,31,4311,4311,0,4,1,0,0,25,513,515
1755,2025-01-31 03:55:42.019894,5.84,8,3120.000004,5.84,1,0xcaf0025e,0,0,31,4311,4311,0,4,1,0,0,25,513,515
2388,2025-01-31 03:55:42.038821,18.927,8,3120.018932,18.928,7,0xcaf0025e,0,0,31,7020,7020,1,1,1,0,0,0,461,1023
2627,2025-01-31 03:55:42.044493,5.672,8,3120.024603,5.671,1,0xcaf0025e,0,0,31,7020,7020,1,1,1,0,0,0,461,1023
3011,2025-01-31 03:55:42.054159,9.665999999999999,8,3120.03427,9.667,7,0xcaf0025e,0,0,31,4336,4336,2,4,1,0,0,15,515,509
3146,2025-01-31 03:55:42.059704,5.545,8,3120.039814,5.544,1,0xcaf0025e,0,0,31,4336,4336,2,4,1,0,0,15,515,509
3667,2025-01-31 03:55:42.074293,14.589,8,3120.054403,14.589,7,0xcaf0025e,0,0,31,7041,7041,3,1,1,0,0,6,471,481
3823,2025-01-31 03:55:42.079753,5.46,8,3120.059863,5.46,1,0xcaf0025e,0,0,31,7041,7041,3,1,1,0,0,6,471,481
4618,2025-01-31 03:55:42.104071,24.317999999999998,8,3120.084181,24.318,7,0xcaf0025e,0,0,31,7052,7052,0,1,1,0,0,5,491,501
4768,2025-01-31 03:55:42.109658,5.587,8,3120.089768,5.587,1,0xcaf0025e,0,0,31,7052,7052,0,1,1,0,0,5,491,501
5263,2025-01-31 03:55:42.124089,14.431,8,3120.104199,14.431,7,0xcaf0025e,0,0,31,4351,4351,1,4,1,0,0,17,509,511
5435,2025-01-31 03:55:42.129593,5.5040000000000004,8,3120.109704,5.505,1,0xcaf0025e,0,0,31,4351,4351,1,4,1,0,0,17,509,511
5968,2025-01-31 03:55:42.144285,14.692,8,3120.124395,14.691,7,0xcaf0025e,0,0,31,7062,7062,2,1,1,0,0,5,491,481
6171,2025-01-31 03:55:42.149728,5.443,8,3120.129838,5.443,1,0xcaf0025e,0,0,31,7062,7062,2,1,1,0,0,5,491,481
6172,2025-01-31 03:55:42.149728,0.0,8,3120.129838,0.0,1,0xcaf0025e,0,0,31,7062,7062,2,1,1,0,0,5,491,481
6615,2025-01-31 03:55:42.164031,14.302999999999999,8,3120.144142,14.304,7,0xcaf0025e,0,0,31,7073,7073,3,1,1,0,0,5,491,481
