logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,AD2 flag,Speed Units,Tunnel,Bridge,Build-up Area,Retransmission,Update,Relative Probability,Functional Road Class,Part of Calculated route,Expressway Flag,Form of Way,Effective Speed Limit,Effective Speed Limit Type,Number of Lanes in driving direction
1282,2025-01-31 03:55:42.004493,0.0,8,3119.984603,0.0,7,0xcaf0036d,0,0,31,1474,1474,3,1,0,0,0,2,1,0,30,1,2,1,1,25,1,3
1469,2025-01-31 03:55:42.010556,6.063,8,3119.990666,6.063,1,0xcaf0036d,0,0,31,1474,1474,3,1,0,0,0,2,1,0,30,1,2,1,1,25,1,3
3303,2025-01-31 03:55:42.064574,54.017999999999994,8,3120.044685,54.019,7,0xcaf0036d,0,0,31,1569,1569,0,1,0,0,0,2,1,0,25,1,2,1,1,25,1,3
3477,2025-01-31 03:55:42.070177,5.603000000000001,8,3120.050287,5.602,1,0xcaf0036d,0,0,31,1569,1569,0,1,0,0,0,2,1,0,25,1,2,1,1,25,1,3
4986,2025-01-31 03:55:42.114570,44.393,8,3120.094681,44.394,7,0xcaf0036d,0,0,31,1869,1869,1,1,0,0,0,2,1,0,25,1,2,1,1,25,1,3
5120,2025-01-31 03:55:42.120064,5.494,8,3120.100174,5.493,1,0xcaf0036d,0,0,31,1869,1869,1,1,0,0,0,2,1,0,25,1,2,1,1,25,1,3
6976,2025-01-31 03:55:42.174360,54.296,8,3120.154471,54.297,7,0xcaf0036d,0,0,31,2011,2011,2,1,0,0,0,2,1,0,30,1,2,1,1,25,1,3
7132,2025-01-31 03:55:42.179899,5.539,8,3120.160009,5.538,1,0xcaf0036d,0,0,31,2011,10202,2,1,0,0,0,2,1,0,30,1,2,1,1,25,1,3
8638,2025-01-31 03:55:42.224355,44.456,8,3120.204465,44.456,7,0xcaf0036d,0,0,31,2300,10491,3,1,0,0,1,2,1,0,30,1,2,1,1,25,1,3
8827,2025-01-31 03:55:42.229700,5.345,8,3120.209811,5.346,1,0xcaf0036d,0,0,31,2300,10491,3,1,0,0,1,2,1,0,30,1,2,1,1,25,1,3
10743,2025-01-31 03:55:42.284636,54.936,8,3120.264747,54.936,7,0xcaf0036d,0,0,31,2384,10575,0,1,0,0,0,2,1,0,30,1,2,1,1,25,1,3
10893,2025-01-31 03:55:42.289713,5.077,8,3120.269824,5.077,1,0xcaf0036d,0,0,31,2384,10575,0,1,0,0,0,2,1,0,30,1,2,1,1,25,1,3
12353,2025-01-31 03:55:42.334987,45.274,8,3120.315098,45.274,7,0xcaf0036d,0,0,31,2684,10875,1,1,0,0,0,2,1,0,30,1,2,1,1,25,1,3
12524,2025-01-31 03:55:42.339878,4.891,8,3120.319988,4.89,1,0xcaf0036d,0,0,31,2684,10875,1,1,0,0,0,2,1,0,30,1,2,1,1,25,1,3
14402,2025-01-31 03:55:42.394628,54.75,8,3120.374739,54.751,7,0xcaf0036d,0,0,31,2984,11175,2,1,0,0,0,2,1,0,30,1,2,1,1,25,1,3
14538,2025-01-31 03:55:42.399679,5.051,8,3120.37979,5.051,1,0xcaf0036d,0,0,31,2984,11175,2,1,0,0,0,2,1,0,30,1,2,1,1,25,1,3
16038,2025-01-31 03:55:42.444731,45.052,8,3120.424841,45.051,7,0xcaf0036d,0,0,31,3284,11475,3,1,0,0,0,2,1,0,30,1,2,1,1,25,1,3
16252,2025-01-31 03:55:42.449700,4.969,8,3120.42981,4.969,1,0xcaf0036d,0,0,31,3284,11475,3,1,0,0,0,2,1,0,30,1,2,1,1,25,1,3
