logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Position Index,Position Probablility,Position Age,Position Confidence,Speed,Relative Heading
15761,2025-01-31 04:14:42.276614,0.0,8,4260.446874,0.0,7,0xcaf0054c,0,0,51,513,513,3,0,21,19,0,79,253
15762,2025-01-31 04:14:42.276643,0.029,8,4260.446903,0.029,1,0xcaf0054c,0,0,51,513,513,3,0,21,19,0,79,253
33684,2025-01-31 04:14:42.816566,539.923,8,4260.986826,539.923,7,0xcaf0054c,0,0,51,513,513,0,0,21,129,0,79,253
33686,2025-01-31 04:14:42.816609,0.043000000000000003,8,4260.98687,0.044,1,0xcaf0054c,0,0,51,513,513,0,0,21,129,0,79,253
52354,2025-01-31 04:14:43.377180,560.571,8,4261.54744,560.57,7,0xcaf0054c,0,0,51,516,516,1,0,16,60,0,79,253
52357,2025-01-31 04:14:43.377205,0.025,8,4261.547465,0.025,1,0xcaf0054c,0,0,51,516,516,1,0,16,60,0,79,253
70265,2025-01-31 04:14:43.917743,540.538,8,4262.088003,540.538,7,0xcaf0054c,0,0,51,516,516,2,0,16,170,0,79,253
70268,2025-01-31 04:14:43.917816,0.073,8,4262.088076,0.073,1,0xcaf0054c,0,0,51,516,516,2,0,16,170,0,79,253
89137,2025-01-31 04:14:44.486614,568.798,8,4262.656875,568.799,7,0xcaf0054c,0,0,51,519,519,3,0,15,101,0,79,1
89141,2025-01-31 04:14:44.486740,0.126,8,4262.657,0.125,1,0xcaf0054c,0,0,51,519,519,3,0,15,101,0,79,1
107125,2025-01-31 04:14:45.026941,540.201,8,4263.197201,540.201,7,0xcaf0054c,0,0,51,522,522,0,0,12,30,0,78,5
107126,2025-01-31 04:14:45.026976,0.034999999999999996,8,4263.197236,0.035,1,0xcaf0054c,0,0,51,522,522,0,0,12,30,0,78,5
125208,2025-01-31 04:14:45.576562,549.586,8,4263.746822,549.586,1,0xcaf0054c,0,0,51,522,522,1,0,12,141,0,78,5
125212,2025-01-31 04:14:45.576675,0.11299999999999999,8,4263.746935,0.113,7,0xcaf0054c,0,0,51,522,522,1,0,12,141,0,78,5
