logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Position Index,Position Probablility,Position Age,Position Confidence,Speed,Relative Heading
5417,2025-06-25 04:33:13.303875,0.0,8,1703.652033,0.0,1,0xcaf0054c,0,0,8,4395,4395,0,0,24,35,1,206,2
11747,2025-06-25 04:33:13.924125,620.25,8,1704.272273,620.24,1,0xcaf0054c,0,0,8,4395,4395,1,0,24,153,1,206,2
17431,2025-06-25 04:33:14.484481,560.356,8,1704.832629,560.356,1,0xcaf0054c,0,0,8,4421,4421,2,0,24,87,1,206,1
23557,2025-06-25 04:33:15.084445,599.964,8,1705.432639,600.01,1,0xcaf0054c,0,0,8,4446,4446,3,0,19,30,1,207,251
29679,2025-06-25 04:33:15.685678,601.2330000000001,8,1706.033873,601.234,1,0xcaf0054c,0,0,8,4446,4446,0,0,19,149,1,207,251
35466,2025-06-25 04:33:16.245017,559.339,8,1706.593285,559.412,1,0xcaf0054c,0,0,8,4476,4476,1,0,21,57,1,207,1
41598,2025-06-25 04:33:16.844897,599.88,8,1707.193164,599.879,1,0xcaf0054c,0,0,8,4476,4476,2,0,21,176,1,207,1
47900,2025-06-25 04:33:17.463946,619.049,8,1707.8132,620.036,1,0xcaf0054c,0,0,8,4505,4505,3,0,24,101,1,207,2
53485,2025-06-25 04:33:18.004297,540.351,8,1708.352708,539.508,1,0xcaf0054c,0,0,8,4530,4530,0,0,24,35,1,207,253
59410,2025-06-25 04:33:18.584342,580.0450000000001,8,1708.932753,580.045,1,0xcaf0054c,0,0,8,4530,4530,1,0,24,148,1,207,253
65017,2025-06-25 04:33:19.125203,540.861,8,1709.473493,540.74,1,0xcaf0054c,0,0,8,4557,4557,2,0,24,78,1,207,2
71072,2025-06-25 04:33:19.725236,600.033,8,1710.073526,600.033,1,0xcaf0054c,0,0,8,4557,4557,3,0,24,196,1,207,2
77248,2025-06-25 04:33:20.327897,602.6610000000001,8,1710.676278,602.752,1,0xcaf0054c,0,0,8,4585,4585,0,0,24,117,1,207,252
83165,2025-06-25 04:33:20.906176,578.279,8,1711.254587,578.309,1,0xcaf0054c,0,0,8,4612,4612,1,0,24,53,1,207,1
89091,2025-06-25 04:33:21.484464,578.288,8,1711.832875,578.288,1,0xcaf0054c,0,0,8,4612,4612,2,0,24,170,1,207,1
95130,2025-06-25 04:33:22.066119,581.6550000000001,8,1712.414563,581.688,1,0xcaf0054c,0,0,8,4637,4637,3,0,25,106,1,208,0
101358,2025-06-25 04:33:22.684052,617.933,8,1713.032496,617.933,1,0xcaf0054c,0,0,8,4664,4664,0,0,19,46,1,208,0
107161,2025-06-25 04:33:23.244450,560.3979999999999,8,1713.593002,560.506,1,0xcaf0054c,0,0,8,4664,4664,1,0,19,162,1,208,0
113094,2025-06-25 04:33:23.824106,579.656,8,1714.172658,579.656,1,0xcaf0054c,0,0,8,4690,4690,2,0,25,93,1,210,1
119067,2025-06-25 04:33:24.403797,579.6909999999999,8,1714.752576,579.918,1,0xcaf0054c,0,0,8,4717,4717,3,0,19,32,1,211,1
124962,2025-06-25 04:33:24.984348,580.551,8,1715.332871,580.295,1,0xcaf0054c,0,0,8,4717,4717,0,0,19,149,1,211,1
131087,2025-06-25 04:33:25.585266,600.918,8,1715.933789,600.918,1,0xcaf0054c,0,0,8,4743,4743,1,0,30,88,1,214,1
136236,2025-06-25 04:33:26.085373,500.10699999999997,8,1716.433968,500.179,1,0xcaf0054c,0,0,8,4743,4743,2,0,30,187,1,214,1
142171,2025-06-25 04:33:26.664356,578.9830000000001,8,1717.01295,578.982,1,0xcaf0054c,0,0,8,4774,4774,3,0,20,105,1,215,0
148093,2025-06-25 04:33:27.244097,579.741,8,1717.593782,580.832,1,0xcaf0054c,0,0,8,4802,4802,0,0,30,42,1,218,0
154075,2025-06-25 04:33:27.824381,580.284,8,1718.174067,580.285,1,0xcaf0054c,0,0,8,4802,4802,1,0,30,156,1,218,0
