logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Profile type,Retransmission,Update,Value,Analyze
255,2025-06-25 04:33:12.003359,0.0,8,1703.151476,0.0,1,0xcaf0036a,0,0,8,3165,3165,1,1,1,1,0x24f95c5a,-117.96781179999999
1039,2025-06-25 04:33:12.883364,880.005,8,1703.231523,80.047,1,0xcaf0036a,0,0,8,3165,3165,2,2,0,1,0x49fe38a3,34.139741099999995
1553,2025-06-25 04:33:12.933043,49.679,8,1703.281201,49.678,1,0xcaf0036a,0,0,8,3165,3165,3,2,1,1,0x49fe38a3,34.139741099999995
2308,2025-06-25 04:33:13.003384,70.341,8,1703.351542,70.341,1,0xcaf0036a,0,0,8,3165,3165,0,25,0,0,0xb2c1c9d0,-117.9678114595076
2948,2025-06-25 04:33:13.063365,59.981,8,1703.411523,59.981,1,0xcaf0036a,0,0,8,3165,3165,1,25,1,0,0xb2c1c9d0,-117.9678114595076
3451,2025-06-25 04:33:13.113070,49.705,8,1703.461229,49.706,1,0xcaf0036a,0,0,8,3165,3165,2,26,0,0,0xe5846f20,34.139736438942506
3980,2025-06-25 04:33:13.163358,50.288,8,1703.511517,50.288,1,0xcaf0036a,0,0,8,3165,3165,3,26,1,0,0xe5846f20,34.139736438942506
4483,2025-06-25 04:33:13.213080,49.722,8,1703.561238,49.721,1,0xcaf0036a,0,0,8,3165,3165,0,17,0,0,0xc00020,12582944
4968,2025-06-25 04:33:13.263309,50.229000000000006,8,1703.611468,50.23,1,0xcaf0036a,0,0,8,3165,3165,1,17,1,0,0xc00020,12582944
5522,2025-06-25 04:33:13.313349,50.04,8,1703.661508,50.04,1,0xcaf0036a,0,0,8,3165,11356,2,24,0,0,0xc00020,12582944
6020,2025-06-25 04:33:13.363378,50.028999999999996,8,1703.711536,50.028,1,0xcaf0036a,0,0,8,3165,11356,3,24,1,0,0xc00020,12582944
6856,2025-06-25 04:33:13.443427,80.04899999999999,8,1703.791585,80.049,1,0xcaf0036a,0,0,8,4461,4461,0,24,1,0,0x3e00050,65011792
7343,2025-06-25 04:33:13.493105,49.678,8,1703.841263,49.678,1,0xcaf0036a,0,0,8,5346,5346,1,17,1,0,0x7c00050,130023504
7881,2025-06-25 04:33:13.543698,50.592999999999996,8,1703.891856,50.593,1,0xcaf0036a,0,0,8,5346,5346,2,24,1,0,0x3c00040,62914624
