logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Profile type,Retransmission,Update,Accuracy,Distance,Value 0,Value 1
254,2025-06-25 04:33:12.003108,0.0,8,1703.151225,0.0,1,0xcaf0025e,0,0,8,5861,5861,1,1,0,0,3,0,521,1023
457,2025-06-25 04:33:12.023081,19.973000000000003,8,1703.171199,19.974,1,0xcaf0025e,0,0,8,5861,5861,2,1,1,0,3,0,521,1023
646,2025-06-25 04:33:12.043132,20.051,8,1703.191249,20.05,1,0xcaf0025e,0,0,8,3165,3165,3,4,0,0,3,32,511,511
834,2025-06-25 04:33:12.863035,819.903,8,1703.211193,19.944,1,0xcaf0025e,0,0,8,3165,3165,0,4,1,0,3,32,511,511
1038,2025-06-25 04:33:12.883113,20.078,8,1703.231271,20.078,1,0xcaf0025e,0,0,8,1828,1828,1,4,1,0,3,12,511,511
1486,2025-06-25 04:33:12.923053,39.940000000000005,8,1703.271211,39.94,1,0xcaf0025e,0,0,8,3165,3165,2,16,0,0,3,0,13,1023
1686,2025-06-25 04:33:12.943126,20.073,8,1703.291284,20.073,1,0xcaf0025e,0,0,8,3165,3165,3,16,1,0,3,0,13,1023
1848,2025-06-25 04:33:12.963023,19.897000000000002,8,1703.311182,19.898,1,0xcaf0025e,0,0,8,1828,1828,0,16,1,0,3,0,14,1023
2054,2025-06-25 04:33:12.983050,20.027,8,1703.331208,20.026,1,0xcaf0025e,0,0,8,1840,1840,1,4,1,0,3,1,1023,1023
2307,2025-06-25 04:33:13.003134,20.084,8,1703.351293,20.085,1,0xcaf0025e,0,0,8,1841,1841,2,4,1,0,3,17,511,511
2946,2025-06-25 04:33:13.063115,59.981,8,1703.411274,59.981,1,0xcaf0025e,0,0,8,1841,1841,3,16,1,0,3,17,14,10
3123,2025-06-25 04:33:13.083199,20.084,8,1703.431357,20.083,1,0xcaf0025e,0,0,8,1858,1858,0,4,1,0,3,103,511,511
3376,2025-06-25 04:33:13.103112,19.913,8,1703.45127,19.913,1,0xcaf0025e,0,0,8,4647,4647,1,1,1,0,3,0,429,1023
3578,2025-06-25 04:33:13.123190,20.078,8,1703.471348,20.078,1,0xcaf0025e,0,0,8,1961,1961,2,4,1,0,3,61,511,511
3769,2025-06-25 04:33:13.143319,20.129,8,1703.491477,20.129,1,0xcaf0025e,0,0,8,1961,1961,3,16,1,0,3,0,4,1023
3978,2025-06-25 04:33:13.163108,19.789,8,1703.511266,19.789,1,0xcaf0025e,0,0,8,4699,4699,0,1,1,0,3,0,501,1023
4168,2025-06-25 04:33:13.183323,20.215,8,1703.531481,20.215,1,0xcaf0025e,0,0,8,2022,2022,1,4,1,0,3,13,511,511
4384,2025-06-25 04:33:13.203126,19.803,8,1703.551285,19.804,1,0xcaf0025e,0,0,8,2022,2022,2,16,1,0,3,13,8,8
4580,2025-06-25 04:33:13.223033,19.907,8,1703.571191,19.906,1,0xcaf0025e,0,0,8,2035,2035,3,4,1,0,3,11,511,511
4785,2025-06-25 04:33:13.243086,20.053,8,1703.591244,20.053,1,0xcaf0025e,0,0,8,4752,4752,0,1,1,0,3,0,511,1023
4966,2025-06-25 04:33:13.263052,19.966,8,1703.61121,19.966,1,0xcaf0025e,0,0,8,2046,2046,1,4,1,0,3,36,511,511
5179,2025-06-25 04:33:13.283080,20.028000000000002,8,1703.631238,20.028,1,0xcaf0025e,0,0,8,2046,2046,2,16,1,0,3,0,10,1023
5412,2025-06-25 04:33:13.303114,20.034,8,1703.651272,20.034,1,0xcaf0025e,0,0,8,2082,2082,3,4,1,0,3,12,511,511
5598,2025-06-25 04:33:13.323091,19.977,8,1703.671249,19.977,1,0xcaf0025e,0,0,8,2082,10273,0,16,1,0,3,12,11,11
5828,2025-06-25 04:33:13.343146,20.055,8,1703.691305,20.056,1,0xcaf0025e,0,0,8,2094,10285,1,4,1,0,3,20,511,511
6018,2025-06-25 04:33:13.363121,19.975,8,1703.71128,19.975,1,0xcaf0025e,0,0,8,3197,11388,2,4,0,0,3,45,511,511
6211,2025-06-25 04:33:13.383123,20.002,8,1703.731282,20.002,1,0xcaf0025e,0,0,8,3197,11388,3,4,1,0,3,45,511,511
6478,2025-06-25 04:33:13.403081,19.958,8,1703.751239,19.957,1,0xcaf0025e,0,0,8,3197,11388,0,16,0,0,3,0,12,1023
6659,2025-06-25 04:33:13.423069,19.988,8,1703.771227,19.988,1,0xcaf0025e,0,0,8,3197,11388,1,16,1,0,3,0,12,1023
6853,2025-06-25 04:33:13.443153,20.084,8,1703.791311,20.084,1,0xcaf0025e,0,0,8,2114,10305,2,4,1,0,3,26,511,511
7239,2025-06-25 04:33:13.483223,40.07,8,1703.831381,40.07,1,0xcaf0025e,0,0,8,2114,10305,3,16,1,0,3,0,12,1023
7455,2025-06-25 04:33:13.503088,19.865000000000002,8,1703.851246,19.865,1,0xcaf0025e,0,0,8,2140,10331,0,4,1,0,3,7,511,511
7671,2025-06-25 04:33:13.523257,20.169,8,1703.871416,20.17,1,0xcaf0025e,0,0,8,2140,10331,1,16,1,0,3,7,12,12
7873,2025-06-25 04:33:13.543204,19.947,8,1703.891362,19.946,1,0xcaf0025e,0,0,8,2147,10338,2,4,1,0,3,1,1023,1023
8048,2025-06-25 04:33:13.563214,20.01,8,1703.911372,20.01,1,0xcaf0025e,0,0,8,2148,10339,3,4,1,0,3,14,511,511
8643,2025-06-25 04:33:13.623129,59.915000000000006,8,1703.971288,59.916,1,0xcaf0025e,0,0,8,4858,4858,0,1,1,0,3,0,501,1023
8867,2025-06-25 04:33:13.643094,19.965,8,1703.991252,19.964,1,0xcaf0025e,0,0,8,2162,10353,1,4,1,0,3,30,511,511
9067,2025-06-25 04:33:13.663054,19.959999999999997,8,1704.011212,19.96,1,0xcaf0025e,0,0,8,2162,10353,2,16,1,0,3,0,13,1023
9241,2025-06-25 04:33:13.683139,20.084999999999997,8,1704.031297,20.085,1,0xcaf0025e,0,0,8,2192,10383,3,4,1,0,3,1,1023,1023
9485,2025-06-25 04:33:13.703074,19.935000000000002,8,1704.051232,19.935,1,0xcaf0025e,0,0,8,2192,10383,0,16,1,0,3,11,13,13
9669,2025-06-25 04:33:13.723252,20.178,8,1704.07141,20.178,1,0xcaf0025e,0,0,8,2193,10384,1,4,1,0,3,10,511,511
9867,2025-06-25 04:33:13.743123,19.871,8,1704.091281,19.871,1,0xcaf0025e,0,0,8,2203,10394,2,4,1,0,3,14,511,511
10089,2025-06-25 04:33:13.763065,19.942,8,1704.111223,19.942,1,0xcaf0025e,0,0,8,4911,4911,3,1,1,0,3,0,521,1023
10296,2025-06-25 04:33:13.783494,20.429,8,1704.131652,20.429,1,0xcaf0025e,0,0,8,2217,10408,0,4,1,0,3,35,511,511
10525,2025-06-25 04:33:13.803080,19.586,8,1704.151239,19.587,1,0xcaf0025e,0,0,8,2217,10408,1,16,1,0,3,0,13,1023
10752,2025-06-25 04:33:13.823327,20.247,8,1704.171485,20.246,1,0xcaf0025e,0,0,8,2252,10443,2,4,1,0,3,27,511,511
10934,2025-06-25 04:33:13.843149,19.822,8,1704.191307,19.822,1,0xcaf0025e,0,0,8,2252,10443,3,16,1,0,3,0,13,1023
11112,2025-06-25 04:33:13.863103,19.954,8,1704.21125,19.943,1,0xcaf0025e,0,0,8,4965,4965,0,1,1,0,3,0,511,1023
11330,2025-06-25 04:33:13.884051,20.948,8,1704.232198,20.948,1,0xcaf0025e,0,0,8,2279,10470,1,4,1,0,3,1,1023,1023
11568,2025-06-25 04:33:13.903162,19.111,8,1704.25131,19.112,1,0xcaf0025e,0,0,8,2279,10470,2,16,1,0,3,0,13,1023
11955,2025-06-25 04:33:13.943274,40.112,8,1704.291421,40.111,1,0xcaf0025e,0,0,8,2280,10471,3,4,1,0,3,14,511,511
12164,2025-06-25 04:33:13.963088,19.814,8,1704.311235,19.814,1,0xcaf0025e,0,0,8,2294,10485,0,4,1,0,3,17,511,511
12360,2025-06-25 04:33:13.985173,22.085,8,1704.33332,22.085,1,0xcaf0025e,0,0,8,2294,10485,1,16,1,0,3,17,13,13
12600,2025-06-25 04:33:14.003136,17.963,8,1704.351283,17.963,1,0xcaf0025e,0,0,8,2311,10502,2,4,1,0,3,1,1023,1023
12779,2025-06-25 04:33:14.023239,20.102999999999998,8,1704.371387,20.104,1,0xcaf0025e,0,0,8,2312,10503,3,4,1,0,3,16,511,511
13391,2025-06-25 04:33:14.083160,59.921,8,1704.431308,59.921,1,0xcaf0025e,0,0,8,2328,10519,0,4,1,0,3,39,511,511
13607,2025-06-25 04:33:14.103132,19.972,8,1704.451279,19.971,1,0xcaf0025e,0,0,8,2328,10519,1,16,1,0,3,0,13,1023
13797,2025-06-25 04:33:14.123226,20.094,8,1704.471374,20.095,1,0xcaf0025e,0,0,8,2367,10558,2,4,1,0,3,1,1023,1023
14000,2025-06-25 04:33:14.143364,20.137999999999998,8,1704.491512,20.138,1,0xcaf0025e,0,0,8,2367,10558,3,16,1,0,3,0,14,1023
14192,2025-06-25 04:33:14.163172,19.808,8,1704.511319,19.807,1,0xcaf0025e,0,0,8,2368,10559,0,4,1,0,3,65,511,511
14387,2025-06-25 04:33:14.183365,20.192999999999998,8,1704.531512,20.193,1,0xcaf0025e,0,0,8,2433,10624,1,4,1,0,3,1,1023,1023
14634,2025-06-25 04:33:14.203309,19.944,8,1704.551456,19.944,1,0xcaf0025e,0,0,8,2433,10624,2,16,1,0,3,13,14,14
14783,2025-06-25 04:33:14.223234,19.924999999999997,8,1704.571382,19.926,1,0xcaf0025e,0,0,8,2434,10625,3,4,1,0,3,12,511,511
15002,2025-06-25 04:33:14.243229,19.994999999999997,8,1704.591377,19.995,1,0xcaf0025e,0,0,8,2446,10637,0,4,1,0,3,33,511,511
15206,2025-06-25 04:33:14.263336,20.107,8,1704.611484,20.107,1,0xcaf0025e,0,0,8,2479,10670,1,4,1,0,3,43,511,511
15379,2025-06-25 04:33:14.283170,19.834,8,1704.631318,19.834,1,0xcaf0025e,0,0,8,2479,10670,2,16,1,0,3,0,14,1023
15635,2025-06-25 04:33:14.303117,19.947,8,1704.651265,19.947,1,0xcaf0025e,0,0,8,2522,10713,3,4,1,0,3,23,511,511
15832,2025-06-25 04:33:14.323566,20.448999999999998,8,1704.671713,20.448,1,0xcaf0025e,0,0,8,2522,10713,0,16,1,0,3,0,14,1023
16001,2025-06-25 04:33:14.343137,19.571,8,1704.691285,19.572,1,0xcaf0025e,0,0,8,2545,10736,1,4,1,0,3,11,511,511
16221,2025-06-25 04:33:14.363230,20.093,8,1704.711377,20.092,1,0xcaf0025e,0,0,8,2545,10736,2,16,1,0,3,0,14,1023
16650,2025-06-25 04:33:14.403421,40.190999999999995,8,1704.751568,40.191,1,0xcaf0025e,0,0,8,2556,10747,3,4,1,0,3,47,511,511
17859,2025-06-25 04:33:14.523516,120.095,8,1704.871664,120.096,1,0xcaf0025e,0,0,8,2556,10747,0,16,1,0,3,0,14,1023
18064,2025-06-25 04:33:14.543237,19.721,8,1704.891385,19.721,1,0xcaf0025e,0,0,8,2603,10794,1,4,1,0,3,1,1023,1023
18279,2025-06-25 04:33:14.563145,19.907999999999998,8,1704.911293,19.908,1,0xcaf0025e,0,0,8,2603,10794,2,16,1,0,3,0,14,1023
18438,2025-06-25 04:33:14.583292,20.147000000000002,8,1704.93144,20.147,1,0xcaf0025e,0,0,8,2604,10795,3,4,1,0,3,17,511,511
18681,2025-06-25 04:33:14.603240,19.948,8,1704.951387,19.947,1,0xcaf0025e,0,0,8,2621,10812,0,4,1,0,3,14,511,511
19064,2025-06-25 04:33:14.643185,39.945,8,1704.991333,39.946,1,0xcaf0025e,0,0,8,2621,10812,1,16,1,0,3,14,14,14
19260,2025-06-25 04:33:14.663177,19.992,8,1705.011324,19.991,1,0xcaf0025e,0,0,8,2635,10826,2,4,1,0,3,22,511,511
19462,2025-06-25 04:33:14.683187,20.01,8,1705.031334,20.01,1,0xcaf0025e,0,0,8,5337,5337,3,1,1,0,3,0,521,1023
19667,2025-06-25 04:33:14.703189,20.002,8,1705.051336,20.002,1,0xcaf0025e,0,0,8,2657,10848,0,4,1,0,3,133,511,511
19872,2025-06-25 04:33:14.723413,20.224,8,1705.07156,20.224,1,0xcaf0025e,0,0,8,2657,10848,1,16,1,0,3,0,14,1023
20243,2025-06-25 04:33:14.763198,39.785000000000004,8,1705.111346,39.786,1,0xcaf0025e,0,0,8,5373,5373,2,1,1,0,3,0,551,1023
20445,2025-06-25 04:33:14.783202,20.004,8,1705.13135,20.004,1,0xcaf0025e,0,0,8,5427,5427,3,1,1,0,3,0,583,1023
20696,2025-06-25 04:33:14.803214,20.011999999999997,8,1705.151361,20.011,1,0xcaf0025e,0,0,8,2790,10981,0,4,1,0,3,19,511,511
20875,2025-06-25 04:33:14.823368,20.154,8,1705.171515,20.154,1,0xcaf0025e,0,0,8,2790,10981,1,16,1,0,3,0,14,1023
21092,2025-06-25 04:33:14.843182,19.814,8,1705.19133,19.815,1,0xcaf0025e,0,0,8,2809,11000,2,4,1,0,3,43,511,511
21276,2025-06-25 04:33:14.863237,20.055,8,1705.211431,20.101,1,0xcaf0025e,0,0,8,2809,11000,3,16,1,0,3,0,13,1023
21472,2025-06-25 04:33:14.883229,19.992,8,1705.231424,19.993,1,0xcaf0025e,0,0,8,5536,5536,0,1,1,0,3,0,561,1023
21737,2025-06-25 04:33:14.903394,20.165,8,1705.251589,20.165,1,0xcaf0025e,0,0,8,2852,11043,1,4,1,0,3,1,1023,1023
21931,2025-06-25 04:33:14.923309,19.915,8,1705.271504,19.915,1,0xcaf0025e,0,0,8,2852,11043,2,16,1,0,3,10,13,14
22105,2025-06-25 04:33:14.943227,19.918000000000003,8,1705.291422,19.918,1,0xcaf0025e,0,0,8,2853,11044,3,4,1,0,3,9,511,511
22742,2025-06-25 04:33:15.003228,60.001,8,1705.351423,60.001,1,0xcaf0025e,0,0,8,2862,11053,0,4,1,0,3,52,511,511
22964,2025-06-25 04:33:15.023298,20.07,8,1705.371493,20.07,1,0xcaf0025e,0,0,8,5590,5590,1,1,1,0,3,0,511,1023
23170,2025-06-25 04:33:15.043259,19.961,8,1705.391454,19.961,1,0xcaf0025e,0,0,8,2914,11105,2,4,1,0,3,24,511,511
23330,2025-06-25 04:33:15.063224,19.965,8,1705.411418,19.964,1,0xcaf0025e,0,0,8,2914,11105,3,16,1,0,3,0,13,1023
23540,2025-06-25 04:33:15.083226,20.002,8,1705.431421,20.003,1,0xcaf0025e,0,0,8,2938,11129,0,4,1,0,3,37,511,511
23975,2025-06-25 04:33:15.123286,40.059999999999995,8,1705.471481,40.06,1,0xcaf0025e,0,0,8,3242,11433,1,4,0,0,3,35,511,511
24178,2025-06-25 04:33:15.143206,19.92,8,1705.4914,19.919,1,0xcaf0025e,0,0,8,3242,11433,2,4,1,0,3,35,511,511
24366,2025-06-25 04:33:15.163117,19.911,8,1705.511312,19.912,1,0xcaf0025e,0,0,8,3242,11433,3,16,0,0,3,0,12,1023
24542,2025-06-25 04:33:15.183118,20.001,8,1705.531313,20.001,1,0xcaf0025e,0,0,8,3242,11433,0,16,1,0,3,0,12,1023
24803,2025-06-25 04:33:15.203188,20.07,8,1705.551383,20.07,1,0xcaf0025e,0,0,8,2938,11129,1,16,1,0,3,0,12,1023
25168,2025-06-25 04:33:15.243170,39.982,8,1705.591364,39.981,1,0xcaf0025e,0,0,8,5644,5644,2,1,1,0,3,0,501,1023
25381,2025-06-25 04:33:15.263244,20.074,8,1705.611438,20.074,1,0xcaf0025e,0,0,8,2975,11166,3,4,1,0,3,15,511,511
25544,2025-06-25 04:33:15.283096,19.852,8,1705.63129,19.852,1,0xcaf0025e,0,0,8,2975,11166,0,16,1,0,3,15,11,8
25796,2025-06-25 04:33:15.303287,20.191,8,1705.651482,20.192,1,0xcaf0025e,0,0,8,2990,11181,1,4,1,0,3,13,511,511
26016,2025-06-25 04:33:15.323870,20.583000000000002,8,1705.672065,20.583,1,0xcaf0025e,0,0,8,5698,5698,2,1,1,0,3,0,521,1023
26616,2025-06-25 04:33:15.383247,59.377,8,1705.731442,59.377,1,0xcaf0025e,0,0,8,3003,11194,3,4,1,0,3,1,1023,1023
26885,2025-06-25 04:33:15.403247,20.0,8,1705.751442,20.0,1,0xcaf0025e,0,0,8,3003,11194,0,16,1,0,3,20,6,4
27031,2025-06-25 04:33:15.423263,20.016,8,1705.771458,20.016,1,0xcaf0025e,0,0,8,3004,11195,1,4,1,0,3,19,511,511
27240,2025-06-25 04:33:15.443392,20.129,8,1705.791586,20.128,1,0xcaf0025e,0,0,8,3023,11214,2,4,1,0,3,1,1023,1023
27417,2025-06-25 04:33:15.463243,19.851,8,1705.811438,19.852,1,0xcaf0025e,0,0,8,3024,11215,3,4,1,0,3,32,511,511
