logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,Last Stub at Offset,Rerouting Flag,Sub-path Index,Retransmission,Update,Relative Probability,Functional Road Class,Part of Calculated route,Expressway Flag,Form of Way,Turn angle,Number of Lanes in driving direction
147,2025-06-25 04:33:11.993362,0.0,8,1703.141479,0.0,1,0xcaf00370,0,0,8,2046,2046,0,0,0,34,1,0,0,4,0,0,2,73,0
1056,2025-06-25 04:33:12.883872,890.51,8,1703.232031,90.552,1,0xcaf00370,0,0,8,2046,2046,1,1,0,35,1,0,0,3,0,1,2,193,1
1555,2025-06-25 04:33:12.933552,49.68,8,1703.28171,49.679,1,0xcaf00370,0,0,8,2094,2094,2,0,0,6,1,0,27,3,2,0,2,0,2
2326,2025-06-25 04:33:13.003881,70.32900000000001,8,1703.35204,70.33,1,0xcaf00370,0,0,8,2094,2094,3,1,0,36,1,0,3,6,0,1,13,66,1
2848,2025-06-25 04:33:13.053299,49.418,8,1703.401457,49.417,1,0xcaf00370,0,0,8,2140,2140,0,0,0,6,1,0,27,3,2,0,2,253,2
3381,2025-06-25 04:33:13.103617,50.318000000000005,8,1703.451776,50.319,1,0xcaf00370,0,0,8,2140,2140,1,1,0,37,1,0,3,6,0,1,13,64,1
3887,2025-06-25 04:33:13.153509,49.891999999999996,8,1703.501668,49.892,1,0xcaf00370,0,0,8,2147,2147,2,1,0,6,1,0,30,3,2,0,2,0,3
4391,2025-06-25 04:33:13.204068,50.559,8,1703.552226,50.558,1,0xcaf00370,0,0,8,2192,2192,3,0,0,6,1,0,22,3,2,0,2,1,2
4891,2025-06-25 04:33:13.253346,49.278000000000006,8,1703.601504,49.278,1,0xcaf00370,0,0,8,2192,2192,0,1,0,38,1,0,8,3,0,0,3,192,1
5415,2025-06-25 04:33:13.303626,50.28,8,1703.651784,50.28,1,0xcaf00370,0,0,8,2203,2203,1,0,0,6,1,0,27,3,2,0,2,0,2
5904,2025-06-25 04:33:13.353319,49.693,8,1703.701478,49.694,1,0xcaf00370,0,0,8,2203,10394,2,1,0,39,1,0,3,6,0,1,13,64,1
6870,2025-06-25 04:33:13.444330,91.011,8,1703.792489,91.011,1,0xcaf00370,0,0,8,2217,10408,3,0,0,6,1,0,27,3,2,0,2,0,2
7347,2025-06-25 04:33:13.493606,49.276,8,1703.841764,49.275,1,0xcaf00370,0,0,8,2217,10408,0,1,0,40,1,0,3,6,0,1,13,50,1
7887,2025-06-25 04:33:13.544387,50.781,8,1703.892545,50.781,1,0xcaf00370,0,0,8,2252,10443,1,0,0,6,1,0,27,3,2,0,2,0,2
8357,2025-06-25 04:33:13.594032,49.645,8,1703.94219,49.645,1,0xcaf00370,0,0,8,2252,10443,2,1,0,41,1,0,3,6,0,1,13,67,1
9246,2025-06-25 04:33:13.683903,89.87100000000001,8,1704.032061,89.871,1,0xcaf00370,0,0,8,2279,10470,3,0,0,6,1,0,27,3,2,0,2,0,2
9776,2025-06-25 04:33:13.733597,49.694,8,1704.081755,49.694,1,0xcaf00370,0,0,8,2279,10470,0,1,0,42,1,0,3,6,0,1,13,66,1
10301,2025-06-25 04:33:13.784295,50.698,8,1704.132454,50.699,1,0xcaf00370,0,0,8,2294,10485,1,0,0,6,1,0,27,3,2,0,2,253,2
10823,2025-06-25 04:33:13.833618,49.323,8,1704.181777,49.323,1,0xcaf00370,0,0,8,2294,10485,2,1,0,43,1,0,3,6,0,1,13,64,1
11745,2025-06-25 04:33:13.923877,90.259,8,1704.272024,90.247,1,0xcaf00370,0,0,8,2311,10502,3,0,0,6,1,0,27,3,2,0,2,1,3
12245,2025-06-25 04:33:13.973807,49.93,8,1704.321954,49.93,1,0xcaf00370,0,0,8,2311,10502,0,1,0,44,1,0,3,6,0,1,13,68,1
12998,2025-06-25 04:33:14.044318,70.51100000000001,8,1704.392466,70.512,1,0xcaf00370,0,0,8,2367,10558,1,0,0,6,1,0,24,3,2,0,2,0,2
13502,2025-06-25 04:33:14.093722,49.404,8,1704.44187,49.404,1,0xcaf00370,0,0,8,2367,10558,2,1,0,45,1,0,6,5,0,0,3,191,1
14014,2025-06-25 04:33:14.144369,50.647,8,1704.492516,50.646,1,0xcaf00370,0,0,8,2446,10637,3,0,0,6,1,0,30,3,2,0,2,253,2
14507,2025-06-25 04:33:14.193654,49.285000000000004,8,1704.541801,49.285,1,0xcaf00370,0,0,8,2446,10637,0,0,0,46,1,0,31,7,0,0,3,254,15
15025,2025-06-25 04:33:14.244982,51.327999999999996,8,1704.593129,51.328,1,0xcaf00370,0,0,8,2446,10637,1,1,0,47,1,0,0,5,0,0,3,191,1
15534,2025-06-25 04:33:14.293705,48.723,8,1704.641852,48.723,1,0xcaf00370,0,0,8,2479,10670,2,0,0,6,1,0,27,3,2,0,2,1,2
16231,2025-06-25 04:33:14.364056,70.351,8,1704.712203,70.351,1,0xcaf00370,0,0,8,2479,10670,3,1,0,48,1,0,3,6,0,0,3,64,1
16765,2025-06-25 04:33:14.415000,50.944,8,1704.763147,50.944,1,0xcaf00370,0,0,8,2545,10736,0,0,0,6,1,0,27,3,2,0,2,1,2
17427,2025-06-25 04:33:14.484227,69.227,8,1704.832374,69.227,1,0xcaf00370,0,0,8,2545,10736,1,1,0,49,1,0,3,5,0,0,3,65,1
17973,2025-06-25 04:33:14.533886,49.659,8,1704.882034,49.66,1,0xcaf00370,0,0,8,2603,10794,2,0,0,6,1,0,27,3,2,0,2,0,2
18693,2025-06-25 04:33:14.604067,70.181,8,1704.952214,70.18,1,0xcaf00370,0,0,8,2603,10794,3,1,0,50,1,0,3,5,0,0,3,63,1
19181,2025-06-25 04:33:14.653718,49.651,8,1705.001865,49.651,1,0xcaf00370,0,0,8,2621,10812,0,1,0,6,1,0,30,3,2,0,2,0,3
19883,2025-06-25 04:33:14.724384,70.66600000000001,8,1705.072532,70.667,1,0xcaf00370,0,0,8,2657,10848,1,0,0,6,1,0,22,3,2,0,2,1,2
20375,2025-06-25 04:33:14.773900,49.516,8,1705.122047,49.515,1,0xcaf00370,0,0,8,2657,10848,2,1,0,51,1,0,8,3,0,0,3,193,1
20901,2025-06-25 04:33:14.824494,50.594,8,1705.172641,50.594,1,0xcaf00370,0,0,8,2809,11000,3,1,0,6,1,0,30,3,2,0,2,0,3
21399,2025-06-25 04:33:14.874366,49.872,8,1705.222561,49.92,1,0xcaf00370,0,0,14,264,264,0,0,0,6,1,0,0,3,0,0,3,133,1
22306,2025-06-25 04:33:14.963729,89.363,8,1705.311924,89.363,1,0xcaf00370,0,0,14,264,264,1,1,0,53,1,0,0,3,0,0,3,2,0
22841,2025-06-25 04:33:15.014371,50.642,8,1705.362566,50.642,1,0xcaf00370,0,0,8,2852,11043,2,0,0,6,1,0,24,3,2,0,2,0,2
23554,2025-06-25 04:33:15.084194,69.823,8,1705.432389,69.823,1,0xcaf00370,0,0,8,2852,11043,3,1,0,52,1,0,6,5,0,0,3,191,1
24096,2025-06-25 04:33:15.133890,49.696,8,1705.482085,49.696,1,0xcaf00370,0,0,8,2862,11053,0,0,0,6,1,0,27,3,2,0,2,0,2
24810,2025-06-25 04:33:15.203942,70.052,8,1705.552137,70.052,1,0xcaf00370,0,0,8,2862,11053,1,1,0,54,1,0,3,6,0,1,13,62,1
25308,2025-06-25 04:33:15.253664,49.722,8,1705.601859,49.722,1,0xcaf00370,0,0,8,2914,11105,2,0,0,6,1,0,27,3,2,0,2,0,2
26036,2025-06-25 04:33:15.325056,71.392,8,1705.673251,71.392,1,0xcaf00370,0,0,8,2914,11105,3,1,0,55,1,0,3,6,0,1,13,61,1
26538,2025-06-25 04:33:15.373897,48.841,8,1705.722092,48.841,1,0xcaf00370,0,0,8,2938,11129,0,1,0,6,1,0,30,3,2,0,2,0,3
27262,2025-06-25 04:33:15.444558,70.661,8,1705.792753,70.661,1,0xcaf00370,0,0,8,2975,11166,1,1,0,6,1,0,30,3,2,0,2,1,4
27725,2025-06-25 04:33:15.493847,49.289,8,1705.842042,49.289,1,0xcaf00370,0,0,8,2990,11181,2,0,0,6,1,0,27,3,2,0,2,0,4
28459,2025-06-25 04:33:15.564068,70.221,8,1705.912263,70.221,1,0xcaf00370,0,0,8,2990,11181,3,1,0,56,1,0,3,6,0,1,13,64,1
28935,2025-06-25 04:33:15.613850,49.782,8,1705.962045,49.782,1,0xcaf00370,0,0,8,3003,11194,0,0,0,6,1,0,27,3,2,0,2,253,4
29675,2025-06-25 04:33:15.685013,71.16300000000001,8,1706.033208,71.163,1,0xcaf00370,0,0,8,3003,11194,1,1,0,57,1,0,3,6,0,1,13,60,1
30193,2025-06-25 04:33:15.733627,48.614,8,1706.081821,48.613,1,0xcaf00370,0,0,8,3056,11247,2,0,0,6,1,0,24,3,2,0,2,253,2
31128,2025-06-25 04:33:15.824085,90.458,8,1706.172279,90.458,1,0xcaf00370,0,0,8,3056,11247,3,0,0,58,1,0,6,4,0,0,3,193,1
31604,2025-06-25 04:33:15.873818,49.733,8,1706.222085,49.806,1,0xcaf00370,0,0,8,3056,11247,0,1,0,59,1,0,31,7,0,0,3,254,15
