2025-09-29 18:33:12,239,MainProcess    ,INFO    ,(read) P33C_ADV_CTBQ63_01ALL_20250625_003316_029
2025-09-29 18:33:12,240,MainProcess    ,INFO    ,Analyzed 615455 frames in "P33C_ADV_CTBQ63_01ALL_20250625_003316_029"
2025-09-29 18:33:12,590,MainProcess    ,INFO    ,Total message count selected output : 5919
2025-09-29 18:33:12,591,MainProcess    ,INFO    ,Now on data distributing...
2025-09-29 18:33:13,260,packetAnalyzer ,ERROR   ,<Size Error> logIndex:83089, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,261,packetAnalyzer ,ERROR   ,<Size Error> logIndex:85085, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,262,packetAnalyzer ,ERROR   ,<Size Error> logIndex:85086, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,262,packetAnalyzer ,ERROR   ,<Size Error> logIndex:85090, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,262,packetAnalyzer ,ERROR   ,<Size Error> logIndex:85091, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,262,packetAnalyzer ,ERROR   ,<Size Error> logIndex:85092, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,268,packetAnalyzer ,ERROR   ,<Size Error> logIndex:85101, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,268,packetAnalyzer ,ERROR   ,<Size Error> logIndex:134176, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,269,packetAnalyzer ,ERROR   ,<Size Error> logIndex:134257, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,272,packetAnalyzer ,ERROR   ,<Size Error> logIndex:134259, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,272,packetAnalyzer ,ERROR   ,<Size Error> logIndex:136291, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,273,packetAnalyzer ,ERROR   ,<Size Error> logIndex:136292, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,277,packetAnalyzer ,ERROR   ,<Size Error> logIndex:136294, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,277,packetAnalyzer ,ERROR   ,<Size Error> logIndex:154913, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,278,packetAnalyzer ,ERROR   ,<Size Error> logIndex:155019, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,278,packetAnalyzer ,ERROR   ,<Size Error> logIndex:155027, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,278,packetAnalyzer ,ERROR   ,<Size Error> logIndex:155354, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,278,packetAnalyzer ,ERROR   ,<Size Error> logIndex:155358, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,286,packetAnalyzer ,ERROR   ,<Size Error> logIndex:155453, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,286,packetAnalyzer ,ERROR   ,<Size Error> logIndex:155475, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,287,packetAnalyzer ,ERROR   ,<Size Error> logIndex:155594, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,288,packetAnalyzer ,ERROR   ,<Size Error> logIndex:155679, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,291,packetAnalyzer ,ERROR   ,<Size Error> logIndex:155680, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,291,packetAnalyzer ,ERROR   ,<Size Error> logIndex:155783, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,293,packetAnalyzer ,ERROR   ,<Size Error> logIndex:155786, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,293,packetAnalyzer ,ERROR   ,<Size Error> logIndex:155787, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,294,packetAnalyzer ,ERROR   ,<Size Error> logIndex:155789, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,294,packetAnalyzer ,ERROR   ,<Size Error> logIndex:155794, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,294,packetAnalyzer ,ERROR   ,<Size Error> logIndex:155915, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,301,packetAnalyzer ,ERROR   ,<Size Error> logIndex:155920, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,302,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156026, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,302,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156029, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,303,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156032, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,303,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156033, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,303,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156034, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,304,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156037, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,305,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156038, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,317,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156133, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,318,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156139, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,320,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156141, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,321,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156146, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,322,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156151, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,322,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156270, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,325,packetAnalyzer ,ERROR   ,<Size Error> logIndex:156274, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,325,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158016, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,325,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158020, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
